"YearsInEd","n","exit_rate_by_exp","exit_n_by_exp","year"
"6",4120,0.0514563106796116,212,"2017-18"
"7",4890,0.047239263803681,231,"2017-18"
"8",6056,0.0389696169088507,236,"2017-18"
"9",6479,0.0317950300972372,206,"2017-18"
"10",6891,0.0323610506457698,223,"2017-18"
"11",6563,0.0300167606277617,197,"2017-18"
"12",6513,0.0237985567326885,155,"2017-18"
"13",6573,0.0241898676403469,159,"2017-18"
"14",5986,0.0305713331105914,183,"2017-18"
"15",5684,0.0290288529204785,165,"2017-18"
"16",5623,0.0250755824293082,141,"2017-18"
"17",5542,0.031577047997113,175,"2017-18"
"18",6231,0.0282458674370085,176,"2017-18"
"19",5043,0.0305373785445172,154,"2017-18"
"20",4663,0.0325970405318464,152,"2017-18"
"21",3741,0.0347500668270516,130,"2017-18"
"22",3407,0.0425594364543587,145,"2017-18"
"23",2977,0.0436681222707424,130,"2017-18"
"24",3124,0.0556978233034571,174,"2017-18"
"25",2326,0.0636285468615649,148,"2017-18"
"26",2039,0.0755272192251104,154,"2017-18"
"27",1952,0.0850409836065574,166,"2017-18"
"28",1777,0.0765334833989871,136,"2017-18"
"29",1591,0.0967944688874921,154,"2017-18"
"30",1498,0.106809078771696,160,"2017-18"
"31",1262,0.127575277337559,161,"2017-18"
"32",1071,0.1531279178338,164,"2017-18"
"33",854,0.192037470725995,164,"2017-18"
"34",622,0.245980707395498,153,"2017-18"
"35",485,0.338144329896907,164,"2017-18"
"36",385,0.319480519480519,123,"2017-18"
"37",318,0.314465408805031,100,"2017-18"
"38",287,0.261324041811847,75,"2017-18"
"39",205,0.297560975609756,61,"2017-18"
"40",146,0.321917808219178,47,"2017-18"
"41",98,0.244897959183673,24,"2017-18"
"42",82,0.341463414634146,28,"2017-18"
"43",55,0.345454545454545,19,"2017-18"
"44",45,0.2,9,"2017-18"
"45",19,0.105263157894737,2,"2017-18"
"46",21,0.19047619047619,4,"2017-18"
"47",8,0.25,2,"2017-18"
"48",10,0.4,4,"2017-18"
"49",8,0.5,4,"2017-18"
"50",4,0.5,2,"2017-18"
"51",2,1,2,"2017-18"
"52",3,0,0,"2017-18"
"53",1,0,0,"2017-18"
"54",1,0,0,"2017-18"
"55",1,1,1,"2017-18"
"56",2,0.5,1,"2017-18"
"57",1,0,0,"2017-18"
"60",1,0,0,"2017-18"
"61",1,0,0,"2017-18"
"65",1,0,0,"2017-18"
"1",4964,0.0987107171635778,490,"2018-19"
"2",6445,0.0735453840186191,474,"2018-19"
"3",6551,0.056021981376889,367,"2018-19"
"4",5975,0.0518828451882845,310,"2018-19"
"5",5401,0.0390668394741715,211,"2018-19"
"6",4573,0.0478897878854144,219,"2018-19"
"7",3983,0.0449409992467989,179,"2018-19"
"8",4691,0.037518652739288,176,"2018-19"
"9",5920,0.0293918918918919,174,"2018-19"
"10",6380,0.0307210031347962,196,"2018-19"
"11",6750,0.026962962962963,182,"2018-19"
"12",6427,0.0312743114983663,201,"2018-19"
"13",6436,0.0290553138595401,187,"2018-19"
"14",6519,0.0250038349440098,163,"2018-19"
"15",5927,0.0259827906192003,154,"2018-19"
"16",5612,0.0274411974340699,154,"2018-19"
"17",5501,0.0278131248863843,153,"2018-19"
"18",5422,0.0282183696053117,153,"2018-19"
"19",6073,0.0289807343981558,176,"2018-19"
"20",4924,0.0337124289195776,166,"2018-19"
"21",4585,0.0390403489640131,179,"2018-19"
"22",3733,0.0404500401821591,151,"2018-19"
"23",3229,0.0427376896872097,138,"2018-19"
"24",2909,0.0422825713303541,123,"2018-19"
"25",3058,0.0536298234139961,164,"2018-19"
"26",2223,0.0625281151596941,139,"2018-19"
"27",1938,0.0670794633642931,130,"2018-19"
"28",1820,0.0659340659340659,120,"2018-19"
"29",1654,0.0755743651753325,125,"2018-19"
"30",1438,0.100139082058414,144,"2018-19"
"31",1348,0.115727002967359,156,"2018-19"
"32",1137,0.150395778364116,171,"2018-19"
"33",937,0.205976520811099,193,"2018-19"
"34",694,0.211815561959654,147,"2018-19"
"35",476,0.361344537815126,172,"2018-19"
"36",319,0.269592476489028,86,"2018-19"
"37",276,0.318840579710145,88,"2018-19"
"38",214,0.294392523364486,63,"2018-19"
"39",211,0.265402843601896,56,"2018-19"
"40",154,0.337662337662338,52,"2018-19"
"41",99,0.444444444444444,44,"2018-19"
"42",80,0.3375,27,"2018-19"
"43",55,0.327272727272727,18,"2018-19"
"44",37,0.297297297297297,11,"2018-19"
"45",34,0.147058823529412,5,"2018-19"
"46",17,0.352941176470588,6,"2018-19"
"47",19,0.315789473684211,6,"2018-19"
"48",5,0,0,"2018-19"
"49",7,0.142857142857143,1,"2018-19"
"50",4,0,0,"2018-19"
"51",2,0,0,"2018-19"
"52",1,0,0,"2018-19"
"53",3,0.333333333333333,1,"2018-19"
"54",1,0,0,"2018-19"
"55",1,0,0,"2018-19"
"58",1,1,1,"2018-19"
"62",1,0,0,"2018-19"
"70",1,0,0,"2018-19"
"1",5123,0.102088619949248,523,"2019-20"
"10",5837,0.0339215350351208,198,"2019-20"
"11",6283,0.0302403310520452,190,"2019-20"
