,Jurisdiction,Date,Cumulative Case Rate,Percent
47354,Perry,2020-04-07,23.8,0.4944427132024514
36567,Montour,2020-04-07,137.1,2.848239326893113
40602,Centre,2020-04-07,35.7,0.7416640698036773
7175,Greene,2020-04-07,46.9,0.9743429936636543
41015,Washington,2020-04-07,28.5,0.5920847616079775
41244,Luzerne,2020-04-07,358.8,7.454035525085697
41248,Dauphin,2020-04-07,61.8,1.2838890620130883
29330,Lancaster,2020-04-07,103.3,2.146047574529968
41570,Westmoreland,2020-04-07,51.9,1.0782175132440013
41573,Beaver,2020-04-07,79.9,1.6599148228939442
47086,Northampton,2020-04-07,283.0,5.879297808247637
13020,Northumberland,2020-04-07,25.3,0.5256050690765556
47901,Lawrence,2020-04-07,43.3,0.8995533395658045
42881,Venango,2020-04-07,9.9,0.20567154876908694
37729,Cumberland,2020-04-07,33.5,0.6959592811883245
12378,Elk,2020-04-07,10.0,0.20774903916069387
45695,Lebanon,2020-04-07,119.2,2.476368546795471
43237,Lackawanna,2020-04-07,125.0,2.5968629895086734
43868,Allegheny,2020-04-07,58.7,1.219486859873273
5195,Crawford,2020-04-07,10.6,0.22021398151033553
44016,Clearfield,2020-04-07,10.1,0.20982652955230083
5810,Wyoming,2020-04-07,18.7,0.38849070323049756
4906,Lycoming,2020-04-07,13.2,0.2742287316921159
12620,Armstrong,2020-04-07,29.4,0.61078217513244
45806,York,2020-04-07,53.7,1.115612340292926
5672,Cambria,2020-04-07,6.9,0.14334683702087878
12538,Warren,2020-04-07,2.6,0.05401475018178041
45847,Fayette,2020-04-07,29.4,0.61078217513244
46137,Butler,2020-04-07,59.6,1.2381842733977355
44250,Indiana,2020-04-07,26.2,0.544302482601018
43401,Adams,2020-04-07,33.0,0.6855718292302898
44123,Carbon,2020-04-07,121.5,2.5241508258024306
43451,McKean,2020-04-07,2.5,0.05193725979017347
43176,Berks,2020-04-07,99.5,2.0671029396489042
30152,Wayne,2020-04-07,79.8,1.6578373325023372
12981,Lycoming,2020-04-08,15.0,0.2809093973557062
41882,Clearfield,2020-04-08,10.1,0.18914566088617552
5574,Wyoming,2020-04-08,22.4,0.4194913667178546
13010,Northumberland,2020-04-08,27.5,0.5150005618187947
44719,Venango,2020-04-08,9.9,0.18540020225476608
40438,Lancaster,2020-04-08,110.9,2.0768568111165213
7714,Bedford,2020-04-08,6.3,0.1179819468893966
42168,Fayette,2020-04-08,37.1,0.6947825761264467
34631,Union,2020-04-08,22.3,0.4176186374021499
35000,Bradford,2020-04-08,23.2,0.43447320124349226
40563,Dauphin,2020-04-08,65.8,1.232255889733698
41672,Pike,2020-04-08,301.0,5.636915240271171
12031,Fulton,2020-04-08,6.9,0.12921832278362486
40997,Centre,2020-04-08,36.9,0.6910371174950373
44983,Chester,2020-04-08,82.7,1.5487471440877936
41035,Lackawanna,2020-04-08,146.9,2.751039364770216
41073,Northampton,2020-04-08,312.8,5.857897299524327
10493,Greene,2020-04-08,58.0,1.0861830031087307
43369,Erie,2020-04-08,13.3,0.24907299898872617
30675,Mercer,2020-04-08,28.3,0.5299823963444323
6461,Mifflin,2020-04-08,19.5,0.36518221656241806
45773,Clinton,2020-04-08,12.9,0.24158208172590734
35954,Allegheny,2020-04-08,61.8,1.1573467171055096
12137,Blair,2020-04-08,4.9,0.0917637364695307
5257,Cambria,2020-04-08,7.7,0.14420015730926253
44958,McKean,2020-04-08,2.5,0.046818232892617696
12630,Elk,2020-04-08,10.0,0.18727293157047079
6424,Forest,2020-04-08,96.6,1.809056518970748
42214,Wayne,2020-04-08,83.7,1.5674744372448406
7502,Warren,2020-04-08,2.6,0.048690962208322405
44837,Tioga,2020-04-08,24.6,0.46069141166335814
47098,Indiana,2020-04-08,30.9,0.5786733585527548
5709,Monroe,2020-04-08,421.7,7.897299524326754
13439,Juniata,2020-04-08,96.9,1.814674706917862
43195,Adams,2020-04-08,37.9,0.7097644106520843
30969,Carbon,2020-04-08,132.4,2.4794936139930335
46483,Cumberland,2020-04-08,35.1,0.6573279898123525
33340,Butler,2020-04-08,59.6,1.116146672160006
45640,Lehigh,2020-04-08,396.7,7.429117195400576
46343,Franklin,2020-04-08,32.9,0.616127944866849
23893,Bucks,2020-04-08,146.6,2.745421176823102
38137,Beaver,2020-04-08,80.5,1.50754709914229
12342,Potter,2020-04-08,18.2,0.3408367354582569
37778,Clarion,2020-04-08,20.8,0.38952769766657924
43001,Perry,2020-04-08,28.1,0.5262369377130229
8751,Montgomery,2020-04-08,213.4,3.9964043597138468
12956,Snyder,2020-04-08,27.2,0.5093823738716806
8367,Sullivan,2020-04-08,16.5,0.30900033709127683
42863,Lawrence,2020-04-08,46.8,0.8764373197498033
5999,Columbia,2020-04-08,104.7,1.9607475935428293
44255,York,2020-04-08,57.2,1.0712011685830929
46281,Lebanon,2020-04-08,134.0,2.5094572830443087
42492,Washington,2020-04-08,30.5,0.5711824412899359
12867,Cameron,2020-04-08,22.5,0.4213640960335593
46198,Berks,2020-04-08,147.0,2.7529120940859206
18237,Delaware,2020-04-08,214.6,4.018877111502303
5038,Crawford,2020-04-08,16.5,0.30900033709127683
40389,Montour,2020-04-08,137.1,2.567511891831155
13329,Jefferson,2020-04-08,2.3,0.04307277426120828
42312,Westmoreland,2020-04-08,53.9,1.0094011011648376
13303,Huntingdon,2020-04-08,17.7,0.3314730888797333
29272,Schuylkill,2020-04-08,106.8,2.000074909172628
6143,Philadelphia,2020-04-08,321.1,6.013333832727818
40776,Luzerne,2020-04-08,390.0,7.303644331248361
32137,Somerset,2020-04-08,9.5,0.17790928499194725
13259,Armstrong,2020-04-08,30.9,0.5786733585527548
13278,Susquehanna,2020-04-08,37.2,0.6966553054421515
40527,Cumberland,2020-04-09,38.7,0.6521299541655434
12436,Lycoming,2020-04-09,15.9,0.26792936101375037
43929,Venango,2020-04-09,9.9,0.16682394176327853
43511,Indiana,2020-04-09,33.3,0.5611350768401185
10278,Jefferson,2020-04-09,2.3,0.03875707737934753
12275,Fulton,2020-04-09,6.9,0.11627123213804261
47552,Erie,2020-04-09,14.5,0.24433809652197358
12452,Mifflin,2020-04-09,19.5,0.32859261256403344
47669,Allegheny,2020-04-09,64.7,1.0902534375842545
39547,Lawrence,2020-04-09,57.3,0.965556753842006
43562,Huntingdon,2020-04-09,22.2,0.37409005122674577
39785,Columbia,2020-04-09,129.3,2.1788217848476683
47617,Lancaster,2020-04-09,119.8,2.018738204367754
39903,Chester,2020-04-09,93.5,1.5755594499865193
45411,Westmoreland,2020-04-09,57.6,0.9706120248045296
7617,Warren,2020-04-09,2.6,0.04381234834187113
41315,Centre,2020-04-09,38.2,0.6437045025613374
9030,Snyder,2020-04-09,34.7,0.5847263413318955
8284,Elk,2020-04-09,10.0,0.16850903208411971
13045,Armstrong,2020-04-09,34.0,0.5729307090860071
8249,Montgomery,2020-04-09,232.3,3.9144648153141013
46329,Lackawanna,2020-04-09,162.6,2.7399568616877867
45684,Clearfield,2020-04-09,11.4,0.19210029657589647
42755,Mercer,2020-04-09,33.8,0.5695605284443246
42720,Fayette,2020-04-09,40.2,0.6774063089781613
8397,Bedford,2020-04-09,6.3,0.10616069021299543
45632,Carbon,2020-04-09,152.7,2.573132919924508
46601,Montour,2020-04-09,159.1,2.6809787004583447
12846,Cameron,2020-04-09,22.5,0.3791453221892694
44253,Lebanon,2020-04-09,155.9,2.6270558101914263
7913,Greene,2020-04-09,58.0,0.9773523860878943
43867,Franklin,2020-04-09,35.5,0.598207063898625
46645,Somerset,2020-04-09,13.6,0.2291722836344028
13313,Northumberland,2020-04-09,33.0,0.5560798058775951
12815,Wyoming,2020-04-09,29.9,0.503842005931518
13335,Juniata,2020-04-09,129.2,2.1771366945268267
13350,Blair,2020-04-09,7.4,0.1246966837422486
44615,Perry,2020-04-09,30.3,0.5105823672148827
42128,York,2020-04-09,65.2,1.0986788891884605
45532,Bradford,2020-04-09,26.5,0.44654893502291726
42098,Washington,2020-04-09,31.9,0.5375438123483419
42097,Adams,2020-04-09,42.7,0.7195335669991912
43271,Lehigh,2020-04-09,425.6,7.171744405500135
8913,Philadelphia,2020-04-09,357.3,6.020827716365598
45489,Clinton,2020-04-09,15.5,0.26118899973038556
