"year_list","n_list","exit_rate"
"2014-15",145176,NA
"2015-16",146658,0.0600588968774043
"2016-17",147707,0.0541902694690031
"2017-18",147628,0.0530395079834924
"2018-19",149699,0.0485436362044818
"2019-20",151296,0.0487587447748781
"2020-21",151860,0.0478144836312214
